Cód. Cir.,Circunscripción,Censo Electoral,Total Votantes,Votos Válidos,Votos a Candidaturas,Votos en Blanco,Votos Nulos,PSOE,,PP,,PODEMOS,,C's,,"IULV-CA, UPeC",,PACMA,,UPYD,,RECORTES CERO-GRUPO VERDE,,PCPE,,VOX,,PCOE,,FE de las JONS,,P-LIB,,PUM+J,,DN,,CILUS,,mlgXSÍ,,EB,,AJU,,SOLUCIONA,,SAIn,
,,,,,,,,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños
4,Almería,490192,312315,309896,307685,2211,2419,89434,2,117635,2,39780,1,44494,1,10828,,2126,,1532,,297,,318,,558,,,,343,,,,176,,164,,,,,,,,,,,,,
11,Cádiz,993618,652400,646537,639756,6781,5863,180895,3,179319,3,130734,2,94962,1,38881,,7591,,3637,,1042,,780,,1493,,,,,,422,,,,,,,,,,,,,,,,,
14,Córdoba,651727,472696,467652,463171,4481,5044,149851,2,142101,2,68740,1,55812,1,37650,,3529,,2069,,605,,876,,,,813,,494,,,,,,,,,,,,631,,,,,,,
18,Granada,748189,514478,510243,506801,3442,4235,158027,2,158693,3,83650,1,70845,1,26022,,3843,,2697,,638,,696,,1245,,,,,,,,445,,,,,,,,,,,,,,,
21,Huelva,396415,262151,259090,256681,2409,3061,95637,2,74353,2,39435,1,30776,,11786,,2385,,1014,,336,,307,,460,,,,,,,,,,192,,,,,,,,,,,,,
23,Jaén,533748,391386,387500,384787,2713,3886,148511,3,121984,2,48640,,41398,,16771,,2543,,1287,,371,,469,,715,,,,,,,,,,,,1189,,,,,,711,,,,198,
29,Málaga,1160216,783158,776564,770840,5724,6594,208896,3,224745,4,132980,2,132586,2,52772,,8886,,4522,,974,,1029,,1817,,,,,,290,,,,,,,,934,,,,,,409,,,
41,Sevilla,1531161,1105238,1094021,1084053,9968,11217,371142,5,275463,3,208408,2,142574,2,62309,,9976,,6421,,1413,,893,,2717,,1096,,989,,652,,,,,,,,,,,,,,,,,
Total Andalucía,,6505266,4493822,4451503,4413774,37729,42319,1402393,22,1294293,21,752367,10,613447,8,257019,0,40879,0,23179,0,5676,0,5368,0,9005,0,1909,0,1826,0,1364,0,621,0,356,0,1189,0,934,0,631,0,711,0,409,0,198,0
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
