,,,,,,,,,,,,,,,,PP,,PSOE,,IU-LV,,UPyD,,CiU,,AMAIUR,,EAJ-PNV,,ESQUERRA,,EQUO,,BNG,,CC-NC-PNC,,COMPROMÍS-Q,,PACMA,,FAC,,Eb,,PA,,PxC,,P.R.C.,,GBAI,,PUM+J,,P.C.P.E.,,ANTICAPITALISTAS,,PIRATA.CAT,,UCE,,PH,,ESPAÑA 2000,,SAIn,,RPS,,HARTOS.ORG,,PIRATA,,ANC,,FE de las JONS,,C.D.L.,,PCAS,,UxV,,P-LIB,,PREPAL,,POSI,,D.N.,,PRAO,,Caballas,,C.XXI,,UNIDAD DEL PUEBLO,,CEx,,ANDECHA,,CCD,,ACIMA,,PFyV,,+MAS+,,U.C.I.T.,,DeC,,CYD,,U.R.C.L.,,P.R.D.E.,,INTERNET,,PRE-R,,BASTA YA,,PDYC,,LV-GV,,H.D.,,SXT,,DNE,
Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Censo electoral sin CERA,Censo CERA,Total censo electoral,Solicitudes voto CERA aceptadas,Total votantes CER,Total votantes CERA,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados
Andalucía                     ,4,Almería                                           ,"695,560",819,"440,454","29,140","469,594","2,156","314,164","1,340","315,504","312,923","309,433","3,490","2,581","180,249",4,"93,495",2,"16,445",0,"12,225",0,0,0,0,0,0,0,0,0,"2,828",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,659",0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,11,Cádiz                                             ,"1,236,739","1,601","960,499","20,562","981,061","1,530","625,167",624,"625,791","620,252","611,741","8,511","5,539","291,897",5,"203,251",3,"54,262",0,"29,761",0,0,0,0,0,0,0,0,0,"4,345",0,0,0,0,0,0,0,"2,872",0,0,0,"2,329",0,"19,289",0,0,0,0,0,0,0,0,0,"1,072",0,874,0,0,0,265,0,0,0,0,0,0,0,0,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,14,Córdoba                                           ,"805,108","1,034","637,766","14,320","652,086","1,244","473,198",649,"473,847","468,623","462,133","6,490","5,224","209,067",3,"170,367",3,"46,066",0,"17,998",0,0,0,0,0,0,0,0,0,"3,782",0,0,0,0,0,0,0,0,0,0,0,"1,786",0,"10,453",0,0,0,0,0,0,0,701,0,982,0,0,0,0,0,188,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,18,Granada                                           ,"918,072","1,248","699,328","35,873","735,201","2,840","512,130","1,904","514,034","508,782","503,488","5,294","5,252","237,785",4,"185,867",3,"40,360",0,"26,255",0,0,0,0,0,0,0,0,0,"3,852",0,0,0,0,0,0,0,"1,370",0,0,0,"1,200",0,"3,942",0,0,0,0,0,0,0,544,0,873,0,484,0,0,0,151,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,21,Huelva                                            ,"518,081",640,"387,376","5,379","392,755",464,"266,545",243,"266,788","263,507","260,095","3,412","3,281","115,651",3,"106,835",2,"18,532",0,"9,048",0,0,0,0,0,0,0,0,0,"2,001",0,0,0,0,0,0,0,821,0,0,0,917,0,"4,992",0,0,0,0,0,0,0,309,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,23,Jaén                                              ,"670,761",933,"527,595","9,441","537,036",809,"407,077",496,"407,573","403,443","399,319","4,124","4,130","183,339",3,"165,348",3,"28,059",0,"13,727",0,0,0,0,0,0,0,0,0,"2,149",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,29,Málaga                                            ,"1,609,557","1,885","1,081,217","35,059","1,116,276","2,812","725,242","1,623","726,865","720,031","711,681","8,350","6,834","357,578",6,"227,463",3,"64,969",1,"40,407",0,0,0,0,0,0,0,0,0,"5,369",0,0,0,0,0,0,0,"2,903",0,0,0,"1,996",0,"7,442",0,0,0,0,0,0,0,0,0,"1,108",0,0,0,0,0,383,0,756,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,41,Sevilla                                           ,"1,917,097","2,461","1,482,866","23,263","1,506,129","2,288","1,071,259","1,387","1,072,646","1,060,182","1,046,586","13,596","12,464","410,046",5,"442,267",6,"91,519",1,"58,502",0,0,0,0,0,0,0,0,0,"11,313",0,0,0,0,0,0,0,0,0,0,0,"2,966",0,"23,302",0,0,0,0,0,0,0,"1,415",0,"1,077",0,"1,194",0,0,0,332,0,900,0,0,0,593,0,0,0,0,0,0,0,0,0,"1,160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón                        ,22,Huesca                                            ,"228,566",418,"170,324","5,389","175,713",819,"122,083",604,"122,687","120,570","117,680","2,890","2,117","58,435",2,"40,721",1,"9,937",0,"5,408",0,0,0,0,0,0,0,0,0,"1,471",0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,354,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
