Cód. Cir.,Circunscripción,Censo Electoral,Total Votantes,Votos Válidos,Votos a Candidaturas,Votos en Blanco,Votos Nulos,PP,,PSOE,,C's,,PODEMOS,,IU-UPeC,,UPYD,,PACMA,,VOX,,RECORTES CERO-GRUPO VERDE,,PCPE,,CCD,,PREPAL,,FE de las JONS,,CRA,,SAIn,,DN,,IFem,,EB,
,,,,,,,,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños
5,Ávila,133214,103251,102017,101273,744,1234,47042,2,20254,1,15971,,11951,,3905,,908,,519,,330,,125,,,,,,,,238,,,,,,,,,,,
9,Burgos,286353,218037,215787,213738,2049,2250,82037,2,44640,1,33558,,36818,1,10171,,2356,,1431,,926,,452,,507,,,,,,,,,,501,,,,341,,,
24,León,442604,295812,292401,289458,2943,3411,104077,2,74128,1,37902,1,51441,1,13997,,2047,,1838,,745,,482,,534,,,,922,,,,1032,,,,313,,,,,
34,Palencia,138133,105955,104678,103685,993,1277,42182,2,25698,1,14814,,14083,,4699,,828,,624,,,,159,,126,,,,,,218,,,,72,,,,,,182,
37,Salamanca,283292,211743,209467,207470,1997,2276,89375,2,45593,1,35242,1,25743,,7017,,1669,,1175,,822,,319,,264,,,,251,,,,,,,,,,,,,
40,Segovia,118922,93139,91836,90933,903,1303,36182,2,19769,1,15665,,13144,,3742,,1274,,517,,,,227,,190,,,,,,223,,,,,,,,,,,
42,Soria,71202,52483,51836,51157,679,647,20030,1,12331,1,7872,,8328,,1836,,327,,192,,,,86,,54,,,,,,,,,,,,101,,,,,
47,Valladolid,423102,331631,328745,326062,2683,2886,121323,2,70879,1,56347,1,50204,1,17935,,2940,,1735,,1230,,489,,429,,1579,,,,411,,,,272,,289,,,,,
50,Zamora,157434,114703,113169,111942,1227,1534,48160,2,25985,1,15865,,14608,,5514,,747,,502,,246,,187,,128,,,,,,,,,,,,,,,,,
Total Castilla y León,,2054256,1526754,1509936,1495718,14218,16818,590408,17,339277,9,233236,3,226320,3,68816,0,13096,0,8533,0,4299,0,2526,0,2232,0,1579,0,1173,0,1090,0,1032,0,845,0,703,0,341,0,182,0
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
