PP,,PP-PAR,,PP-FORO,,UPN-PP,,PSOE,,PSC,,PSOE-Nca,,PODEMOS,,PODEMOS-COMPROMÍS,,PODEMOS-En Marea-ANOVA-EU,,EN COMÚ,,C's,,ERC-CATSÍ,,DL,,EAJ-PNV,,UP-UPeC,,EH Bildu,,CCa-PNC,,PACMA,asdf,UPYD,asdf,NÓS,asdf,unio.cat,asdf,VOX,asdf,RECORTES CERO-GRUPO VERDE,asdf,MÉS,asdf,GBAI,asdf,PCPE,asdf,EL PI,asdf,CCD,asdf,EB,asdf,FE de las JONS,asdf,PCPC,asdf,SOMVAL,asdf,X IZDA,asdf,PUM+J,asdf,SAIn,asdf,CENTRO MODERADO,asdf,PT,asdf,CANARIAS DECIDE,asdf,P-LIB,asdf,PH,asdf,ARAPV,asdf,EU-eX,asdf,PCOE,asdf,IFem,asdf,EB - AZ,asdf,EZKERRA,asdf,DN,asdf,EN POSITIU,asdf,CILUS,asdf,PREPAL,asdf,CRA,asdf,Ln,asdf,AVANT,asdf,mlgXSÍ,asdf,PLD,asdf,PFyV,asdf,AJU,asdf,Independientes-FIA,asdf,FDEE,asdf,SOLUCIONA,asdf,"JS,PC",asdf,DN,asdf,+MAS+,asdf,OE,asdf
Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,Votos,Escaños,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
33683,1,,,,,,,25331,1,,,,,48413,1,,,,,,,10512,,,,,,28353,1,6814,,21225,,,,1385,asdf,768,asdf,,asdf,,asdf,,asdf,561,asdf,,asdf,,asdf,175,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,473,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,82,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,110,asdf
85241,2,,,,,,,65205,1,,,,,32320,,,,,,,,33755,1,,,,,,,9306,,,,,,1583,asdf,1146,asdf,,asdf,,asdf,538,asdf,305,asdf,,asdf,,asdf,251,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,205,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
297083,4,,,,,,,188711,3,,,,,,,201610,3,,,,,154397,2,,,,,,,33397,,,,,,8262,asdf,5570,asdf,,asdf,,asdf,2227,asdf,1761,asdf,,asdf,,asdf,1741,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,404,asdf,,asdf,,asdf,,asdf,3278,asdf,,asdf,,asdf,415,asdf,,asdf,608,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,456,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
117635,2,,,,,,,89434,2,,,,,39780,1,,,,,,,44494,1,,,,,,,10828,,,,,,2126,asdf,1532,asdf,,asdf,,asdf,558,asdf,297,asdf,,asdf,,asdf,318,asdf,,asdf,,asdf,,asdf,343,asdf,,asdf,,asdf,,asdf,176,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,164,asdf,,asdf,,asdf
47042,2,,,,,,,20254,1,,,,,11951,,,,,,,,15971,,,,,,,,3905,,,,,,519,asdf,908,asdf,,asdf,,asdf,330,asdf,125,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,238,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
137640,2,,,,,,,148493,3,,,,,47368,1,,,,,,,45350,,,,,,,,12338,,,,,,2041,asdf,1546,asdf,,asdf,,asdf,,asdf,508,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,951,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
140640,3,,,,,,,88635,2,,,,,111628,2,,,,,,,71551,1,,,,,,,11451,,,,,,5114,asdf,2276,asdf,,asdf,,asdf,,asdf,1177,asdf,33877,asdf,,asdf,,asdf,12910,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,714,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
321980,4,,,,,,,,,464588,5,,,,,,,,,768235,9,387061,4,414163,5,378723,4,,,,,,,,,34394,asdf,6595,asdf,,asdf,48326,asdf,,asdf,10730,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,5493,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
82037,2,,,,,,,44640,1,,,,,36818,1,,,,,,,33558,,,,,,,,10171,,,,,,1431,asdf,2356,asdf,,asdf,,asdf,926,asdf,452,asdf,,asdf,,asdf,507,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,501,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,341,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
